,stock,name,pe_ratio,earnings_yield
223,SRE,Sempra Energy,,4.28
224,PFE,Pfizer Inc.,,4.27
225,AMAT,Applied Materials Inc.,,4.26
226,PNR,Pentair plc,,4.24
227,MU,Micron Technology,,4.23
228,FLIR,FLIR Systems,,4.22
229,CF,CF Industries Holdings Inc,,4.19
230,TXN,Texas Instruments,,4.19
231,YUM,Yum! Brands Inc,,4.18
232,EXC,Exelon Corp.,,4.16
233,KO,Coca-Cola Company,,4.15
234,MCO,Moody's Corp,,4.14
235,IPG,Interpublic Group,,4.13
236,MRK,Merck & Co.,,4.13
237,ED,Consolidated Edison,,4.12
238,FLT,FleetCor Technologies Inc,,4.12
239,ACN,Accenture,,4.11
240,GLW,Corning Inc.,,4.1
241,HPE,Hewlett Packard Enterprise,,4.06
242,MLM,Martin Marietta Materials,,4.06
243,WAB,Westinghouse Air Brake Technologies Corp,,4.05
244,FDX,FedEx Corporation,,4.01
245,CHTR,Charter Communications,,4.0
246,PAYX,Paychex Inc.,,4.0
247,ICE,Intercontinental Exchange,,3.99
248,MDLZ,Mondelez International,,3.97
249,JBHT,J. B. Hunt Transport Services,,3.95
250,ADP,Automatic Data Processing,,3.94
251,CTLT,Catalent,,3.94
252,ALLE,Allegion,,3.89
253,LNT,Alliant Energy,,3.88
254,SPGI,S&P Global Inc.,,3.88
255,MSI,Motorola Solutions Inc.,,3.87
256,HON,Honeywell Int'l Inc.,,3.82
257,NLSN,Nielsen Holdings,,3.82
258,IBM,International Business Machines,,3.81
259,MSFT,Microsoft Corp.,,3.81
260,EA,Electronic Arts,,3.8
261,ITW,Illinois Tool Works,,3.77
262,MXIM,Maxim Integrated Products,,3.77
263,TT,Trane Technologies plc,,3.76
264,WAT,Waters Corporation,,3.76
265,XEL,Xcel Energy Inc,,3.75
266,ANET,Arista Networks,,3.73
267,LHX,L3Harris Technologies,,3.73
268,MNST,Monster Beverage,,3.73
269,VMC,Vulcan Materials,,3.73
270,CBRE,CBRE Group,,3.72
271,DPZ,Domino's Pizza,,3.72
272,FAST,Fastenal Co,,3.72
273,LLY,Lilly (Eli) & Co.,,3.69
274,RHI,Robert Half International,,3.68
275,AKAM,Akamai Technologies,,3.65
276,UPS,United Parcel Service,,3.64
277,MCD,McDonald's Corp.,,3.63
278,APD,Air Products & Chemicals,,3.62
279,MKC,McCormick & Co.,,3.59
280,PPG,PPG Industries,,3.54
281,RSG,Republic Services Inc,,3.54
282,COST,Costco Wholesale Corp.,,3.5
283,BR,Broadridge Financial Solutions,,3.48
284,IRM,Iron Mountain Incorporated,,3.44
285,SHW,Sherwin-Williams,,3.44
286,KHC,Kraft Heinz Co,,3.42
287,EMN,Eastman Chemical,,3.39
288,AJG,Arthur J. Gallagher & Co.,,3.38
289,TEL,TE Connectivity Ltd.,,3.37
290,AME,Ametek,,3.36
291,TDY,Teledyne Technologies,,3.36
292,INCY,Incyte,,3.33
293,TXT,Textron Inc.,,3.33
294,CME,CME Group Inc.,,3.32
295,FFIV,F5 Networks,,3.32
296,VRSK,Verisk Analytics,,3.32
297,VRSN,Verisign Inc.,,3.31
298,WM,Waste Management Inc.,,3.31
299,ODFL,Old Dominion Freight Line,,3.29
300,TDG,TransDigm Group,,3.28
301,GNRC,Generac Holdings,,3.27
302,IPGP,IPG Photonics Corp.,,3.27
303,KEYS,Keysight Technologies,,3.26
304,AWK,American Water Works,,3.24
305,BXP,Boston Properties,,3.23
306,CPRT,Copart Inc,,3.22
307,TTWO,Take-Two Interactive,,3.22
308,EIX,Edison Int'l,,3.21
309,JKHY,Jack Henry & Associates,,3.21
310,CAT,Caterpillar Inc.,,3.18
311,WDC,Western Digital,,3.18
312,ABT,Abbott Laboratories,,3.16
313,BLL,Ball Corp,,3.16
314,EXR,Extra Space Storage,,3.16
315,BAX,Baxter International Inc.,,3.14
316,SPG,Simon Property Group Inc,,3.14
317,AES,AES Corp,,3.13
318,BF.B,Brown-Forman Corp.,,3.13
319,CTAS,Cintas Corporation,,3.13
320,JCI,Johnson Controls International,,3.13
321,DHR,Danaher Corp.,,3.1
322,IEX,IDEX Corporation,,3.09
323,POOL,Pool Corporation,,3.09
324,DE,Deere & Co.,,3.08
325,KSU,Kansas City Southern,,3.06
326,RMD,ResMed,,3.04
327,LW,Lamb Weston Holdings Inc,,3.03
328,STE,Steris,,3.03
329,CTVA,Corteva,,3.0
330,TPR,"Tapestry, Inc.",,2.97
331,CTXS,Citrix Systems,,2.95
332,EFX,Equifax Inc.,,2.94
333,JNPR,Juniper Networks,,2.94
334,NI,NiSource Inc.,,2.94
335,ADI,"Analog Devices, Inc.",,2.93
336,XLNX,Xilinx,,2.91
337,ZBRA,Zebra Technologies,,2.9
338,AVB,AvalonBay Communities,,2.89
339,ZTS,Zoetis,,2.84
340,ETSY,Etsy,,2.8
341,GPC,Genuine Parts,,2.8
342,MTD,Mettler Toledo,,2.79
343,V,Visa Inc.,,2.79
344,EQR,Equity Residential,,2.77
345,ARE,Alexandria Real Estate Equities,,2.76
346,BDX,Becton Dickinson,,2.75
347,ROP,Roper Technologies,,2.75
348,PSA,Public Storage,,2.7
349,ETN,Eaton Corporation,,2.69
350,ESS,"Essex Property Trust, Inc.",,2.68
351,TRMB,Trimble Inc.,,2.66
352,NFLX,Netflix Inc.,,2.64
353,GILD,Gilead Sciences,,2.63
354,AVGO,Broadcom Inc.,,2.61
355,HWM,Howmet Aerospace,,2.59
356,PENN,Penn National Gaming,,2.53
357,IT,Gartner Inc,,2.52
358,A,Agilent Technologies,,2.49
359,TMUS,T-Mobile US,,2.47
360,LIN,Linde plc,,2.44
361,APTV,Aptiv PLC,,2.41
362,ALB,Albemarle Corporation,,2.39
363,ABBV,AbbVie Inc.,,2.38
364,ROL,"Rollins, Inc.",,2.33
365,MA,Mastercard Inc.,,2.32
366,MKTX,MarketAxess,,2.3
367,L,Loews Corp.,,2.25
368,DRE,Duke Realty Corp,,2.24
369,MSCI,MSCI Inc,,2.19
370,CDNS,Cadence Design Systems,,2.16
371,LUMN,Lumen Technologies,,2.16
372,J,Jacobs Engineering Group,,2.15
373,FRT,Federal Realty Investment Trust,,2.14
374,UAA,Under Armour (Class A),,2.14
375,ADBE,Adobe Inc.,,2.13
376,PYPL,PayPal,,2.13
377,REG,Regency Centers Corporation,,2.12
378,UA,Under Armour (Class C),,2.12
379,SNPS,Synopsys Inc.,,2.08
380,WST,West Pharmaceutical Services,,2.07
381,AMD,Advanced Micro Devices,,2.06
382,AMZN,Amazon.com Inc.,,2.04
383,DUK,Duke Energy,,2.02
384,T,AT&T Inc.,,2.01
385,ECL,Ecolab Inc.,,2.01
386,ABMD,Abiomed,,2.0
387,PTC,PTC Inc,,1.99
388,SYK,Stryker Corp.,,1.99
389,AMT,American Tower Corp.,,1.98
390,NKE,"Nike, Inc.",,1.98
391,O,Realty Income Corporation,,1.98
392,XYL,Xylem Inc.,,1.98
393,INTU,Intuit Inc.,,1.95
394,MAA,Mid-America Apartments,,1.94
395,MDT,Medtronic plc,,1.9
396,BKR,Baker Hughes Co,,1.89
397,ANSS,"ANSYS, Inc.",,1.86
398,PLD,Prologis,,1.83
399,NEE,NextEra Energy,,1.8
400,FISV,Fiserv Inc,,1.79
401,TFX,Teleflex,,1.79
402,IDXX,Idexx Laboratories,,1.78
403,ULTA,Ulta Beauty,,1.78
404,EW,Edwards Lifesciences,,1.75
405,FTNT,Fortinet,,1.74
406,ILMN,Illumina Inc,,1.74
407,IQV,IQVIA Holdings Inc.,,1.72
408,EL,Estée Lauder Companies,,1.71
409,ALXN,Alexion Pharmaceuticals,,1.65
410,XRAY,Dentsply Sirona,,1.65
411,MCHP,Microchip Technology,,1.64
412,UDR,"UDR, Inc.",,1.64
413,COO,The Cooper Companies,,1.63
414,INFO,IHS Markit,,1.62
415,CCI,Crown Castle,,1.61
416,HES,Hess Corporation,,1.6
417,ZBH,Zimmer Biomet,,1.6
418,DLR,Digital Realty Trust Inc,,1.54
419,BKNG,Booking Holdings Inc,,1.53
420,D,Dominion Energy,,1.52
421,GPN,Global Payments Inc.,,1.47
422,IR,Ingersoll Rand,,1.4
423,NXPI,NXP Semiconductors,,1.37
424,COP,ConocoPhillips,,1.35
425,MPWR,Monolithic Power Systems,,1.35
426,VTR,Ventas Inc,,1.35
427,ALGN,Align Technology,,1.27
428,ISRG,Intuitive Surgical Inc.,,1.27
429,EQIX,Equinix,,1.23
430,SBAC,SBA Communications,,1.2
431,SBUX,Starbucks Corp.,,1.2
432,TYL,Tyler Technologies,,1.16
433,PAYC,Paycom,,1.05
434,DXCM,DexCom,,1.04
435,ADSK,Autodesk Inc.,,1.01
436,CMG,Chipotle Mexican Grill,,0.99
437,WELL,Welltower Inc.,,0.9
438,IFF,International Flavors & Fragrances,,0.87
439,BSX,Boston Scientific,,0.85
440,EOG,EOG Resources,,0.65
441,SYY,Sysco Corp.,,0.62
442,MPC,Marathon Petroleum,,0.61
443,ENPH,Enphase Energy,,0.59
444,AMP,Ameriprise Financial,,0.58
445,ROST,Ross Stores,,0.43
446,TSLA,"Tesla, Inc.",,0.42
447,TWTR,"Twitter, Inc.",,0.38
448,VLO,Valero Energy,,0.37
449,TJX,TJX Companies Inc.,,0.32
450,VFC,VF Corporation,,0.28
451,NOW,ServiceNow,,0.26
452,CRM,Salesforce.com,,0.24
453,PEAK,Healthpeak Properties,,0.17
454,FIS,Fidelity National Information Services,,0.13
455,HFC,HollyFrontier Corp,,0.06
456,MAR,Marriott International,,-0.04
457,HBI,Hanesbrands Inc,,-0.16
458,WBA,Walgreens Boots Alliance,,-0.26
459,PRGO,Perrigo,,-0.28
460,CZR,Caesars Entertainment,,-0.58
461,RTX,Raytheon Technologies,,-0.59
462,VNO,Vornado Realty Trust,,-0.62
463,WRK,WestRock,,-0.67
464,DIS,The Walt Disney Company,,-0.7
465,TAP,Molson Coors Beverage Company,,-0.85
466,GE,General Electric,,-1.17
467,PXD,Pioneer Natural Resources,,-1.3
468,BMY,Bristol-Myers Squibb,,-1.46
469,HLT,Hilton Worldwide Holdings Inc,,-1.46
470,VTRS,Viatris,,-1.51
471,DRI,Darden Restaurants,,-1.89
472,DD,DuPont de Nemours Inc,,-2.05
473,RL,Ralph Lauren Corporation,,-2.73
474,DVN,Devon Energy,,-3.19
475,LVS,Las Vegas Sands,,-3.34
476,CVX,Chevron Corp.,,-3.56
477,SLB,Schlumberger Ltd.,,-3.84
478,AIG,American International Group,,-4.71
479,PSX,Phillips 66,,-5.02
480,GPS,Gap Inc.,,-5.12
481,WYNN,Wynn Resorts Ltd,,-5.13
482,MGM,MGM Resorts International,,-5.58
483,HAL,Halliburton Co.,,-5.71
484,HST,Host Hotels & Resorts,,-5.79
485,EXPE,Expedia Group,,-6.35
486,BA,Boeing Company,,-6.37
487,MRO,Marathon Oil Corp.,,-6.67
488,XOM,Exxon Mobil Corp.,,-7.49
489,LYV,Live Nation Entertainment,,-7.79
490,NOV,NOV Inc.,,-8.13
491,PVH,PVH Corp.,,-9.34
492,LUV,Southwest Airlines,,-10.52
493,RCL,Royal Caribbean Group,,-12.17
494,NCLH,Norwegian Cruise Line Holdings,,-12.52
495,DXC,DXC Technology,,-13.09
496,MCK,McKesson Corp.,,-14.07
497,ALK,Alaska Air Group,,-16.03
498,AAL,American Airlines Group,,-18.47
499,ABC,AmerisourceBergen,,-18.8
500,UAL,United Airlines Holdings,,-19.33
501,CCL,Carnival Corp.,,-20.01
502,OXY,Occidental Petroleum,,-21.34
503,FANG,Diamondback Energy,,-22.27
504,DAL,Delta Air Lines Inc.,,-30.95
